CENTLAT,CENTLON,NAME
25.4944965,-80.3914019,Homestead Air Reserve Base
39.4540097,-87.2943982,Hulman Fld
30.4294221,-86.6989468,Hurlburt Fld
40.7924894,-91.242995,Iowa Army Ammunition Plnt
18.4637601,-67.0658661,Isabela N00207 Ab
29.9542522,-90.0093382,Jackson Barracks
29.9606474,-90.0053237,Jackson Barracks
29.9681283,-90.0017642,Jackson Barracks
38.8933381,-81.8296585,Jackson County Army Guard
32.3252316,-90.0826627,Jackson Iap Thompson Fld
30.4863909,-81.7054419,Jacksonville International Arprt
48.1996666,-121.9256331,Jim Creek Naval Rec Area
43.5848893,-96.7469755,Joe Foss Fld
43.5732402,-96.7416116,Joe Foss Fld
43.5953694,-96.7382265,Joe Foss Fld
47.0379633,-122.5802305,Joint Base Lewis-Mcchord
26.9827046,-80.1081617,Jonathan Dickinson Tracking Annex
21.6553587,-157.9919236,Kahuka Training Area
22.0331312,-159.76854,Kamokala Ridge
39.0202088,-95.6830761,Kansas Ag
19.7068079,-155.0391915,Keaukaha Mil Res
30.407889,-88.9234375,Keesler AFB
36.737405,-98.1202113,Kegelman Air Force Auxiliary Fld
29.3849384,-98.5682126,Kelly AFB (Jbsa-Port Annex)
29.3763359,-98.5459907,Kelly AFB (Jbsa-Port Annex)
29.3615167,-98.5790293,Kelly AFB (Jbsa-Port Annex)
29.3805214,-98.5859021,Kelly Field Annex
19.4339026,-155.2741375,Kilauea Military Cp
58.70616,-156.670889,King Salmon Arprt
58.6802244,-156.6408248,King Salmon Arprt
58.6880377,-156.6875222,King Salmon Arprt
58.7004777,-156.6864627,King Salmon Arprt
58.6912854,-156.66309,King Salmon Arprt
34.9952802,-106.4877042,Kirtland AFB
42.1596835,-121.7381302,Klamath Falls Airport-Kingsley Field (Ang)
39.7679336,-85.5176799,Knightatown
29.3866198,-98.6178565,Lackland AFB
29.3688808,-98.6649034,Lackland Training Annex (Jbsa Medina Annex)
34.1082985,-119.0649843,Laguna Peak
34.1119236,-119.0771186,Laguna Peak
39.0968078,-94.25071,Lake City Army Ammunition Plnt
37.0865818,-76.3625733,Langley AFB
29.356811,-100.7828643,Laughlin AFB
40.0208831,-77.7025563,Letterkenny Army Dep
46.2738895,-111.5797556,Limestone Hills Training Area
40.841069,-96.7538777,Lincoln Map
41.2522295,-112.2465283,Little Mountain Test Annex
34.903916,-92.1386392,Little Rock AFB
33.7419039,-118.2334161,Long Beach Fuel Complx
32.6708004,-94.1366742,Longhorn Army Ammunition Plnt
33.7912363,-118.052224,Los Alamitos Reserve Center and Air Sta
33.9188917,-118.3809748,Los Angeles Air Force Base (Area B)
30.2008471,-91.1290106,Louisiana National Guard Gillis Long Ctr
38.1780044,-85.7236568,Louisville Iap Standiford
33.5364067,-112.3728968,Luke AFB
33.7159982,-112.5279857,Luke AFB Auxiliary Field 1
27.8436588,-82.5010176,Macdill AFB
21.530768,-158.2068764,Makua Mil Res
28.0209469,-80.6797853,Malabar Transmitter Annex
47.488734,-111.2078232,Malmstrom AFB
47.5058481,-111.1825145,Malmstrom AFB
47.5659443,-122.5463564,Manchester Fuel Dep
36.7938873,-94.3642345,Maneuver Traing Area Camp Crowder Neosho
46.1289188,-123.9438238,Maneuver Traing Area Camp Rilea
18.0285751,-66.2835321,Maneuver Training Area Camp Santiago
31.0902583,-89.0068066,Maneuver Training Area Camp Shelby
40.4273433,-112.0182986,Maneuver Training Area Camp Williams
46.6259139,-112.1451888,Maneuver Training Area Fort William Henry Harrison
35.7812338,-120.7801272,Maneuver Training Center-Heavy Camp Roberts
40.8116502,-82.518112,Mansfield Lahm Air National Guard Base
33.9022404,-117.2503006,March AFB
33.8892368,-117.2926887,March AFB
